row_index,ra,ano_referencia,errors
0,RA-1,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
5,RA-10,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
8,RA-100,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
21,RA-1002,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
26,RA-1003,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
31,RA-1004,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
40,RA-1006,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
45,RA-1007,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
62,RA-1010,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
70,RA-1012,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":0.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
80,RA-1014,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
85,RA-1015,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":2.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
90,RA-1016,2020,"[{""type"":""greater_than_equal"",""loc"":[""ano_ingresso""],""msg"":""Input should be greater than or equal to 1990"",""input"":1.0,""ctx"":{""ge"":1990.0},""url"":""https://errors.pydantic.dev/2.13/v/greater_than_equal""}]"
