ra,nome,ano_referencia,fase,turma,idade,genero,ano_ingresso,instituicao_ensino,pedra,inde,ian,ida,ieg,iaa,ips,ipp,ipv,atingiu_pv,defasagem,fase_ideal,matematica,portugues,ingles,escola,status_ativo
RA-1,ALUNO-1,2021,2.0,G,,,,Rede Decisão,Ametista,7.319,5.0,8.8,6.3,7.5,6.9,7.7,8.1,Não,-1.0,,,,,,
RA-1,Aluno-1,2022,7,A,19.0,Menina,2016.0,Escola Pública,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,Não,-1.0,,2.7,3.5,6.0,,
RA-1,Aluno-1,2023,FASE 8,8E,,Feminino,2016.0,Privada *Parcerias com Bolsa 100%,,,10.0,,,,,,,,0.0,,,,,,
RA-1,Aluno-1,2024,8E,8E,21.0,Feminino,2021.0,Privada *Parcerias com Bolsa 100%,,,10.0,,0.0,,,,,,0.0,,,,,Universidade Santo Amaro (UNISA),Cursando
RA-10,ALUNO-10,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-10,Aluno-10,2022,7,A,18.0,Menina,2021.0,Escola Pública,Quartzo,5.784,5.0,4.1,5.2,8.3,5.0,,7.056,Não,-1.0,,3.3,2.6,6.4,,
RA-100,ALUNO-100,2021,1.0,M,,,,Escola Pública,Quartzo,3.117,5.0,0.0,0.0,8.5,3.8,6.3,3.8,Não,-2.0,,,,,,
RA-100,Aluno-100,2022,4,A,13.0,Menina,2019.0,Rede Decisão,Ametista,7.618,10.0,7.6,7.8,8.8,5.0,,7.25,Não,1.0,,7.0,7.8,8.1,,
RA-1000,ALUNO-1000,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1000,ALUNO-1000,2021,,,,,,,,,,,,,,,,,,,,,,,
RA-1000,ALUNO-1000,2022,2.0,M,,,2022.0,,Ágata,6.686743535353536,10.0,2.0,8.093434343434343,9.50002,7.5,6.458333333333334,6.611106666666666,Não,,,0.0,4.0,,,
RA-1000,Aluno-1000,2023,ALFA,ALFA U - G2/G3,8.0,Feminino,2023.0,Pública,Ametista,7.9162,10.0,7.0,9.4,8.5,3.77,6.25,8.92,,0.0,,7.0,7.0,,,
RA-1000,Aluno-1000,2024,1N,1N,9.0,Feminino,2023.0,Pública,Topázio,8.364790909100002,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,,0.0,,7.5,8.0,,EE Helio Luiz Dobrochinski Prof,Cursando
RA-1001,ALUNO-1001,2020,,,,,,,,,,,,,,,,,,,,,,,
RA-1001,ALUNO-1001,2021,0.0,K,,,,Escola Pública,Topázio,8.931,10.0,6.9,10.0,9.5,7.5,8.4,10.0,Sim,0.0,,,,,,
RA-1001,ALUNO-1001,2022,0.0,J,,,2021.0,Escola Pública,Ametista,7.382144857142857,5.0,8.083333333333334,8.452380952380953,9.000020000000001,5.625,5.625,7.75,Não,,,7.666666666666667,8.5,,,
RA-1001,Aluno-1001,2023,ALFA,ALFA U - G2/G3,9.0,Feminino,2023.0,Pública,Topázio,8.1162,5.0,7.8,9.1,9.0,7.52,7.5,9.17,,-1.0,,8.3,7.3,,,
RA-1001,Aluno-1001,2024,1N,1N,10.0,Feminino,2023.0,Pública,Ametista,7.7964318841,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,,-1.0,,6.5,9.0,,EE Helio Luiz Dobrochinski Prof,Cursando
RA-1002,ALUNO-1002,2021,3.0,J,,,,Escola Pública,Ametista,7.693,5.0,7.5,8.3,8.8,7.5,7.7,8.1,Não,-2.0,,,,,,
